,BTC,ETH,XRP,ADA,XLM,LTC,TRX,UBQ,BIS,IOTA,EMC2,FUN,ADST,total
2018-01-17 21:49:00,61.66092527979999,1679.001202678837,846.0279286582501,441.8741254356,309.947169518055,143.17342690200002,165.707589216,53.256022788920404,121.89210988560001,99.68310947924009,17.6771333475,41.27563263721319,61.819548797601,4042.9959246246162
2018-01-17 21:49:00,61.66092527979999,1679.001202678837,846.02792865825,441.8741254356,309.947169518055,143.17342690200002,165.707589216,53.256022788920404,121.89210988560001,99.68310947924009,17.677133347499996,41.27563263721319,61.819548797601,4042.9959246246162
2018-01-17 22:28:00,62.1818116458,1723.5341785929606,928.16853990075,452.2039415696,329.07609044406,145.26596726399998,169.867510344,55.887890578047006,129.30419694594002,103.8795726434499,18.2532320325,44.984006021343596,64.069103549304,4226.676041531755
2018-01-17 23:48:00,64.65459087779999,1764.2333867783234,947.6155503179998,470.4314252998,348.9328205593381,152.608257186,166.99492608,60.26504894306041,148.85467643652,108.5488767235521,18.568916154,48.0465397054602,79.012997617932,4378.768012679787
2018-01-18 00:15:00,63.0220986626,1719.2995283026087,905.1383915145001,452.858168348,335.071779118695,148.60470985799998,157.20222969600002,56.516838885096604,124.64163923442,102.71224662104669,18.4029234885,46.6565081927958,85.24798579143,4215.375047713694
2018-01-18 00:59:00,64.04383730359999,1775.5246205000153,985.4308578622499,483.2827402672,362.52720125765103,152.517490488,170.67344994000004,57.866075302304395,132.87526303782,105.69705492758278,19.0151939295,49.2277997237994,87.30447881784299,4445.986063357567
2018-01-18 01:00:00,64.04383730359999,1775.5246205000153,985.4308578622499,483.2827402672,362.52720125765103,152.517490488,170.67344994000004,57.8660753023044,132.87526303782002,105.6970549275828,19.0151939295,49.2277997237994,87.30447881784299,4445.986063357567
2018-01-18 01:00:00,64.04383730359999,1775.5246205000153,985.4308578622499,483.2827402672,362.52720125765103,152.517490488,170.67344994000004,57.866075302304395,132.87526303782,105.69705492758278,19.0151939295,49.2277997237994,87.30447881784299,4445.986063357567
2018-01-18 01:00:00,64.04383730359999,1775.5246205000153,985.4308578622499,483.2827402672,362.52720125765103,152.517490488,170.67344994000004,57.8660753023044,132.87526303782002,105.6970549275828,19.0151939295,49.2277997237994,87.30447881784299,4445.986063357567
2018-01-18 01:03:00,64.37677647379999,1784.7548871221825,990.55373227875,478.8367685068,364.411840099284,153.310370004,171.56071542,58.16689867412641,133.56603019884,106.1847754815144,19.114046577000003,49.483716006344395,87.75834107544,4462.078897918082
2018-01-18 01:09:00,64.43546506039999,1788.6085851283917,989.9774497574999,480.5059558274,366.195001920516,153.666282581,173.39717498399997,58.3397438596548,134.08137024024,106.305554594877,19.0239793245,49.5990305471736,89.153319416112,4473.288913241765
2018-01-18 01:21:00,64.402093119,1775.2702148603255,981.71234597025,472.4789386247999,359.26778093166,151.969738565,170.76623948399998,57.7627944166872,142.56026323404,105.6027686842392,19.1688267015,48.773555708913,88.77080722853701,4438.506367528951
2018-01-18 01:24:00,64.402093119,1775.2702148603255,969.15545438175,473.89466511459995,359.26778093166,151.969738565,170.766239484,57.999894875049606,143.26362868236,105.6027686842392,19.2945139785,49.3039503947016,89.228271124755,4429.419214195941
2018-01-18 01:26:00,64.402093119,1775.2702148603255,969.15545438175,473.89466511459995,359.26778093166,151.969738565,170.76623948399998,57.999894875049606,143.26362868236,105.6027686842392,19.2945139785,49.3039503947016,89.228271124755,4429.419214195941
2018-01-18 01:26:00,64.47171389329999,1769.5512566319328,969.15545438175,473.89466511459995,361.40528410484404,151.461761723,172.380599916,57.999894875049606,143.26362868236,105.12981487276949,19.2945139785,49.3039503947016,89.228271124755,4426.540809693563
2018-01-18 01:29:00,64.47171389329999,1769.5512566319328,969.15545438175,473.89466511459995,361.40528410484404,151.461761723,172.380599916,56.967317132148,143.26362868236,105.12981487276949,19.116931689,48.7723062678048,89.228271124755,4424.799005534264
2018-01-18 01:31:00,64.1437482623,1753.7387770502914,952.420514814,468.8064222544,351.948798902997,149.977285709,171.867888516,56.967317132148004,146.35777480692,104.7178369226946,19.116931689,48.772306267804794,88.65888533535602,4377.494487662912
2018-01-18 01:32:00,64.1437482623,1753.7387770502914,952.420514814,468.8064222544,351.948798902997,149.977285709,171.867888516,56.967317132148004,146.35777480692,104.7178369226946,19.116931689,48.772306267804794,88.65888533535602,4377.494487662912
