,BTC,ETH,XRP,LTC
2013-04-27,99.0845449649973,,,
2013-04-28,104.06954381106239,,,
2013-04-29,109.28849233584992,,,
2013-04-30,107.00734394124848,,,
2013-05-01,89.31303549571604,,,
2013-05-02,80.97187476309605,,,
2013-05-03,74.79030044227544,,,
2013-05-04,85.87768796705812,,,
2013-05-05,88.8897361598292,,,
2013-05-06,85.99221789883268,,,
2013-05-07,83.92462043183032,,,
2013-05-08,86.15150361629236,,,
2013-05-09,85.19251255516663,,,
2013-05-10,90.77610101632277,,,
2013-05-11,88.57406837080383,,,
2013-05-12,88.15829996920235,,,
2013-05-13,89.4087720650582,,,
2013-05-14,82.45357170378361,,,
2013-05-15,84.69371890547264,,,
2013-05-16,87.93638479441428,,,
2013-05-17,90.70634858963402,,,
2013-05-18,92.07397622192866,,,
2013-05-19,90.4343771854845,,,
2013-05-20,90.67921885941024,,,
2013-05-21,91.32597543914193,,,
2013-05-22,92.16900100595836,,,
2013-05-23,96.08938547486034,,,
2013-05-24,99.46672849524691,,,
2013-05-25,99.67539995362856,,,
2013-05-26,100.08501429785917,,,
2013-05-27,97.57322822474688,,,
2013-05-28,97.32570721904467,,,
2013-05-29,100.6408276714021,,,
2013-05-30,97.96817058096416,,,
2013-05-31,98.34691680762725,,,
2013-06-01,99.00815008457636,,,
2013-06-02,94.57173612178994,,,
2013-06-03,94.72632226322264,,,
2013-06-04,92.09440879926673,,,
2013-06-05,92.7527358995944,,,
2013-06-06,90.54733953346546,,,
2013-06-07,83.0920060331825,,,
2013-06-08,82.28506787330316,,,
2013-06-09,75.54298642533936,,,
2013-06-10,78.90074948898479,,,
2013-06-11,80.88600919159195,,,
2013-06-12,80.25909467500188,,,
2013-06-13,76.60533233195645,,,
2013-06-14,74.42682101781553,,,
2013-06-15,74.73502217544915,,,
2013-06-16,74.69743666842066,,,
2013-06-17,74.97938067031566,,,
2013-06-18,78.1366831164947,,,
2013-06-19,78.50216321050276,,,
2013-06-20,77.73484848484848,,,
2013-06-21,77.23823975720788,,,
2013-06-22,75.87253414264036,,,
2013-06-23,76.18361153262518,,,
2013-06-24,76.01253247745683,,,
2013-06-25,74.5165220039592,,,
2013-06-26,75.83691646191646,,,
2013-06-27,73.90270104358503,,,
2013-06-28,68.77675840978593,,,
2013-06-29,68.02752293577981,,,
2013-06-30,68.4480122324159,,,
2013-07-01,64.81552504410523,,,
2013-07-02,67.60390258892217,,,
2013-07-03,59.425881626668726,,,
2013-07-04,61.152187307455335,,,
2013-07-05,51.952185050065985,,,
2013-07-06,51.494217185438174,,,
2013-07-07,57.40898858961422,,,
2013-07-08,57.89883268482491,,,
2013-07-09,58.3417593528817,,,
2013-07-10,67.26761882463123,,,
2013-07-11,66.79699478687519,,,
2013-07-12,69.18060457265614,,,
2013-07-13,70.3314408470155,,,
2013-07-14,69.07319318704926,,,
2013-07-15,72.07193359975408,,,
2013-07-16,69.7896020734868,,,
2013-07-17,69.25243605359317,,,
2013-07-18,65.13404109065914,,,
2013-07-19,65.92242627447992,,,
2013-07-20,64.80225558180294,,,
2013-07-21,65.48045416444411,,,
2013-07-22,65.01595017469239,,,
2013-07-23,65.99393019726858,,,
2013-07-24,66.75222708742263,,,
2013-07-25,68.29268292682926,,,
2013-07-26,67.83559577677225,,,
2013-07-27,66.48567119155354,,,
2013-07-28,69.91704374057315,,,
2013-07-29,70.37678975131877,,,
2013-07-30,72.69647696476964,,,
2013-07-31,74.03389830508475,,,
2013-08-01,72.99788455726805,,,
2013-08-02,72.59713701431492,,,
2013-08-03,72.36991592819814,,,
2013-08-04,72.99856093312125,,,
2013-08-05,73.7798898695029,,,
2013-08-06,73.5617469879518,,,
2013-08-07,72.97256670424653,,,
2013-08-08,70.56137724550898,,,
2013-08-09,68.99723323113737,,,
2013-08-10,69.9244746878038,,,
2013-08-11,70.35818440140582,,,
2013-08-12,71.79969879518072,,,
2013-08-13,73.85252069224981,,,
2013-08-14,74.89994714188627,,,
2013-08-15,73.76099872151613,,,
2013-08-16,73.65067466266866,,,
2013-08-17,74.74512743628185,,,
2013-08-18,74.43778110944527,,,
2013-08-19,77.07583932853717,,,
2013-08-20,78.30794504181601,,,
2013-08-21,82.50896592946802,,,
2013-08-22,81.90347519327479,,,
2013-08-23,80.60651441407714,,,
2013-08-24,81.7296892549607,,,
2013-08-25,84.05840509172596,,,
2013-08-26,81.47967966469577,,,
2013-08-27,88.28160143949617,,,
2013-08-28,88.3419495017607,,,
2013-08-29,89.32609678878336,,,
2013-08-30,94.34076312806953,,,
2013-08-31,96.71326029467322,,,
2013-09-01,98.7230827351719,,,
2013-09-02,98.54622548648445,,,
2013-09-03,98.07166717279078,,,
2013-09-04,93.24273024068029,,,
2013-09-05,92.78897136797454,,,
2013-09-06,89.70801250285888,,,
2013-09-07,91.43096744682472,,,
2013-09-08,90.21880003049478,,,
2013-09-09,92.22373806275581,,,
2013-09-10,92.19788519637461,,,
2013-09-11,96.13355441664154,,,
2013-09-12,95.09405568096312,,,
2013-09-13,96.05866867243324,,,
2013-09-14,93.63670552839413,,,
2013-09-15,94.29108687476496,,,
2013-09-16,94.53470090589204,,,
2013-09-17,95.02845163222523,,,
2013-09-18,95.1168364289994,,,
2013-09-19,91.6795865633075,,,
2013-09-20,90.95012579547137,,,
2013-09-21,91.30531300873169,,,
2013-09-22,91.21651620541661,,,
2013-09-23,90.78323956174118,,,
2013-09-24,91.93201217249313,,,
2013-09-25,91.26925355450237,,,
2013-09-26,92.48092451292688,,,
2013-09-27,93.78001034202556,,,
2013-09-28,93.47713673635224,,,
2013-09-29,93.82433330870947,,,
2013-09-30,93.48389485375786,,,
2013-10-01,93.94274752840491,,,
2013-10-02,76.84054753977063,,,
2013-10-03,86.53082242165661,,,
2013-10-04,89.70793790921797,,,
2013-10-05,89.16354005738248,,,
2013-10-06,90.11255793423085,,,
2013-10-07,90.99616858237547,,,
2013-10-08,91.43341190335887,,,
2013-10-09,93.15575286718462,,,
2013-10-10,93.70381318356489,,,
2013-10-11,93.89650597080937,,,
2013-10-12,94.33878814683769,,,
2013-10-13,97.90653103346601,,,
2013-10-14,99.83780595694485,,,
2013-10-15,105.80300896761284,,,
2013-10-16,101.43794705405206,,,
2013-10-17,105.35792709705753,,,
2013-10-18,111.72902660040923,,,
2013-10-19,121.30955860859397,,,
2013-10-20,121.74071908798597,,,
2013-10-21,131.79922440916076,,,
2013-10-22,138.7670030715226,,,
2013-10-23,148.3129726585224,,,
2013-10-24,140.43462513582034,,,
2013-10-25,135.44312985410468,,,
2013-10-26,130.33316396893375,,,
2013-10-27,140.81440081294912,,,
