,ADA,ADST,BCH,BIS,BTC,DASH,EMC2,EOS,ETH,FUN,IOTA,LTC,NEO,ONT,TRX,UBQ,XLM,XMR,XRP,TOTAL
2018-06-01 04:31:00,40.9481572088637,34.219545926076,258.31276650894443,43.337026875339006,725.0983301532217,38.43088059319262,7.1673529725,0.0,604.6434619999665,0.012995620316699999,70.44508212470521,341.647191018297,58.97832890721372,0.0,0.012224172163499998,23.265511621073852,35.110120531122,78.26584394985039,395.5645687074861,2755.4593888903323
2018-06-01 04:40:00,40.767429739735896,34.209384832287,257.7937562919379,43.324209615836004,725.1418019131653,38.32392776718229,7.196839866,0.0,604.2182148142008,0.012942691538400001,70.3650498217821,340.6885703997638,58.76747505125444,0.0,0.0121918370448,23.02078847954814,35.003618880909,78.13968848054675,395.0791793133983,2752.065069796131
2018-06-01 04:50:00,40.7003077175098,34.500903267663006,257.53907372973464,43.29451108986127,724.4037480330583,38.31115354204479,7.189420086,0.0,603.8552246603184,0.0129142413741,70.1359218113532,340.6279347592074,58.7336630501397,0.0,0.0121326741186,23.005376524883353,34.926794113721996,78.0110099017271,394.79247592684817,2750.0525651295634
2018-06-01 05:01:00,40.9390464485735,34.285184293311005,258.12664230250994,43.3313997865151,724.8423297893607,38.50802689407759,7.190688753000001,0.0,604.6023090466249,0.012917487354000001,70.24520449716991,341.2140792913459,58.93919567307878,0.0,0.012116536930799999,23.077143298430155,34.958983936589995,78.03825948284626,394.94521181093427,2753.268739328653
2018-06-01 05:10:00,41.0173244935923,34.82010193725,258.2950403939442,42.97876886614777,725.5939082168046,38.25617427893292,7.1915345325,0.0,605.3166821107592,0.0129765644385,70.3276743335859,341.3151386956531,59.19328454680798,0.0,0.0121317224925,23.355492522529545,34.951445047029,78.01050527994204,395.29275068315894,2755.940934225569
2018-06-01 05:20:00,41.017696373351605,34.965744363585,258.2124054173592,42.96407591280961,725.2413039414555,38.27959369163612,7.1909194185,0.0,606.5090625576311,0.013023153996900001,70.18426619788981,341.32091351759755,59.148830079782634,0.0,0.012122935101300001,23.154670096376258,34.950846724017,78.0271578018027,395.4008307078391,2756.5934628907316
2018-06-01 05:31:00,40.973630112701706,34.753529211849006,258.446755083133,42.97220393040628,725.3601267518171,38.27333181669232,7.190688753000001,0.0,606.372941250234,0.0130993011621,69.9214189923711,340.63370958115183,59.16523721471192,0.0,0.0121208091165,23.18253615455064,35.029586136048,78.0100006575663,394.8215993298856,2755.1325150863972
2018-06-01 05:40:00,40.8557482117973,34.664765596209,258.12455687730557,42.960011902181655,725.2519303719906,38.26068282903318,7.2375525405,0.0,606.0299999711516,0.0130733714073,69.9807322724928,340.9368877873138,59.21822782626568,0.0,0.0120733694427,23.176153425795864,35.000148604638,78.01958847325466,394.8345430309004,2754.57667646168
2018-06-01 05:50:00,40.715182407312106,34.831898150994,258.3909699570082,42.95000819074984,725.2161869246494,38.20895974094484,7.2094496445,0.0,606.6631223323445,0.0132132546039,70.12698419647141,340.746318629348,59.158142237438184,0.0,0.012008577719099998,23.147508987177133,34.964009844288,78.00344057317906,394.77241312967175,2755.1298167783993
2018-06-01 06:01:00,40.7537558295883,34.923147277473,258.67652537317986,43.04121702726863,726.3191110090473,38.43934805583984,7.2216328005,0.0,607.8276743389586,0.013158980892,70.3646441281179,340.92349699523334,59.48543244945563,0.0,0.012002045619899997,23.259270673963503,34.961187013578,78.14146163349321,395.86560710049173,2760.228672732701
