,btc,eth,ltc,xrp
2018-02-28 10:16:30.782447,8695.1,710.12,173.91,0.743
2018-02-28 10:16:41.122023,8687.52,710.12,173.91,0.743
2018-02-28 10:16:51.878877,8687.52,710.12,173.91,0.743
2018-02-28 10:17:02.112796,8687.52,710.12,173.5,0.743
2018-02-28 10:17:12.368015,8702.15,710.12,173.72,0.743
2018-02-28 10:17:22.740944,8702.15,710.12,173.72,0.74449
2018-02-28 10:17:33.018654,8692.71,710.12,173.72,0.74449
2018-02-28 10:17:43.332196,8692.8,710.12,173.72,0.74449
2018-02-28 10:17:53.540063,8711.65,708.35,173.72,0.74402
2018-02-28 10:18:03.896277,8711.65,708.35,173.89,0.74402
2018-02-28 10:18:14.214740,8703.75,708.35,173.89,0.74402
2018-02-28 10:18:24.737714,8714.86,710.76,173.52,0.74449
2018-02-28 10:18:34.987410,8710.93,710.76,173.52,0.74449
2018-02-28 10:18:45.400510,8710.93,710.76,173.52,0.74449
2018-02-28 10:18:55.785734,8710.93,710.76,173.52,0.74449
2018-02-28 10:19:06.033518,8710.93,710.76,173.52,0.74449
2018-02-28 10:19:16.440288,8711.5,710.95,173.52,0.74449
2018-02-28 10:19:26.684063,8693.21,710.95,173.52,0.7444
2018-02-28 10:19:37.180846,8710.93,710.95,173.52,0.7444
2018-02-28 10:19:47.732748,8710.93,711.33,173.52,0.7444
2018-02-28 10:19:58.046015,8710.93,711.33,173.52,0.7444
2018-02-28 10:20:08.428824,8710.93,711.33,173.52,0.7444
2018-02-28 10:20:18.822176,8710.93,711.73,174.1,0.7444
2018-02-28 10:20:29.034926,8711.63,709.14,174.1,0.7444
2018-02-28 10:20:39.522787,8711.63,709.14,174.1,0.7444
2018-02-28 10:20:49.900204,8711.63,709.14,174.11,0.7444
2018-02-28 10:21:00.312287,8711.61,709.03,174.11,0.7444
2018-02-28 10:21:10.500089,8711.6,709.03,174.11,0.7444
2018-02-28 10:21:20.803662,8701.0,709.03,174.11,0.7444
2018-02-28 10:21:31.117076,8691.0,709.03,174.11,0.7444
2018-02-28 10:21:41.778311,8691.0,709.03,173.93,0.7444
2018-02-28 10:21:52.013541,8691.0,709.25,173.93,0.7444
2018-02-28 10:22:02.438355,8691.0,709.25,173.88,0.7444
2018-02-28 10:22:12.778816,8703.6,712.09,173.88,0.7444
2018-02-28 10:22:23.008514,8703.6,712.09,173.88,0.7444
2018-02-28 10:22:33.699437,8703.6,712.09,173.88,0.7444
2018-02-28 10:22:44.302643,8703.6,712.09,173.88,0.74252
2018-02-28 10:22:54.618834,8696.7,712.09,173.88,0.74252
2018-02-28 10:23:04.848221,8696.7,712.09,173.89,0.74252
2018-02-28 10:23:15.053973,8711.6,712.09,173.89,0.74252
2018-02-28 10:23:25.672837,8694.01,712.09,173.89,0.743
2018-02-28 10:23:35.923318,8694.12,712.09,173.89,0.743
2018-02-28 10:23:46.335446,8711.69,711.56,173.89,0.743
2018-02-28 10:23:56.809093,8711.69,711.56,173.89,0.743
2018-02-28 10:24:07.034738,8711.69,711.56,174.03,0.743
2018-02-28 10:24:17.515000,8695.1,711.56,174.03,0.743
2018-02-28 10:24:28.157514,8695.1,711.56,174.03,0.743
2018-02-28 10:24:38.761219,8690.1,711.56,174.03,0.743
2018-02-28 10:24:48.960802,8690.0,711.56,174.03,0.743
2018-02-28 10:24:59.298403,8685.01,711.0,174.03,0.743
2018-02-28 10:25:09.801307,8703.2,711.0,174.03,0.743
2018-02-28 10:25:20.445064,8703.3,711.0,173.52,0.74449
2018-02-28 10:25:30.783549,8703.3,711.0,173.52,0.74449
2018-02-28 10:25:40.975636,8687.01,711.0,173.52,0.74449
2018-02-28 10:25:51.361383,8687.01,709.25,173.52,0.74449
2018-02-28 10:26:01.579911,8685.62,709.25,173.52,0.74449
2018-02-28 10:26:11.914593,8703.3,709.25,173.52,0.74449
2018-02-28 10:26:22.438235,8703.3,711.14,173.52,0.74449
2018-02-28 10:26:32.924857,8695.34,711.34,173.52,0.74449
2018-02-28 10:26:43.349031,8695.21,711.34,173.52,0.74449
2018-02-28 10:26:53.550013,8695.21,711.34,173.52,0.74449
2018-02-28 10:27:03.922230,8685.0,711.34,173.52,0.74449
2018-02-28 10:27:14.164357,8675.59,711.34,173.52,0.74449
2018-02-28 10:27:24.594662,8675.59,709.25,173.57,0.74449
2018-02-28 10:27:34.912030,8675.59,709.25,173.5,0.74201
2018-02-28 10:27:45.198869,8669.7,709.25,173.5,0.74201
2018-02-28 10:27:55.512285,8670.22,709.01,173.38,0.74439
2018-02-28 10:28:06.062201,8670.0,709.41,173.21,0.74439
2018-02-28 10:28:16.692381,8670.0,709.25,173.36,0.74439
2018-02-28 10:28:27.178480,8670.0,708.36,173.36,0.74439
2018-02-28 10:28:37.597515,8660.89,708.73,173.42,0.74201
2018-02-28 10:28:47.779574,8665.0,708.73,173.42,0.74201
2018-02-28 10:28:58.349363,8650.0,708.73,173.42,0.7418
2018-02-28 10:29:08.860098,8650.0,708.73,173.42,0.74
2018-02-28 10:29:19.312868,8650.0,707.7,173.13,0.73842
2018-02-28 10:29:29.624127,8652.9,707.7,172.76,0.73842
2018-02-28 10:29:40.037844,8637.01,707.7,172.76,0.73842
2018-02-28 10:29:50.578072,8637.01,707.5,172.76,0.73842
2018-02-28 10:30:00.831339,8627.7,707.3,172.76,0.73842
2018-02-28 10:30:11.336033,8652.7,707.3,172.57,0.73842
2018-02-28 10:30:21.771926,8652.77,707.3,172.5,0.73842
2018-02-28 10:30:32.128496,8652.77,707.3,172.5,0.73842
2018-02-28 10:30:42.614902,8652.77,707.42,172.5,0.73842
2018-02-28 10:30:52.983109,8661.5,708.09,172.5,0.73842
2018-02-28 10:31:03.437487,8668.45,708.09,172.5,0.73842
2018-02-28 10:31:13.760217,8668.45,708.09,172.57,0.73842
2018-02-28 10:31:24.279616,8668.45,708.02,172.57,0.73842
2018-02-28 10:31:34.659417,8668.45,708.0,172.57,0.73842
2018-02-28 10:31:44.879777,8660.9,708.0,172.57,0.73832
2018-02-28 10:31:55.412881,8650.0,709.13,172.57,0.73832
2018-02-28 10:32:05.770699,8650.0,709.13,172.0,0.73832
2018-02-28 10:32:16.075413,8647.87,709.13,172.0,0.738
2018-02-28 10:32:26.543406,8648.7,709.13,171.8,0.738
2018-02-28 10:32:36.792259,8648.7,709.13,171.58,0.738
2018-02-28 10:32:47.048847,8648.7,709.13,171.55,0.738
2018-02-28 10:32:57.450646,8648.7,709.13,170.36,0.738
2018-02-28 10:33:07.834645,8642.6,708.02,170.99,0.738
2018-02-28 10:33:18.209618,8642.6,707.34,171.08,0.738
2018-02-28 10:33:28.541276,8630.1,707.32,171.06,0.738
2018-02-28 10:33:39.201166,8630.31,707.01,171.04,0.7375
2018-02-28 10:33:49.672310,8604.88,707.0,171.04,0.7375
2018-02-28 10:34:00.002751,8604.88,707.0,170.84,0.7375
2018-02-28 10:34:10.488296,8628.37,707.01,170.84,0.7375
2018-02-28 10:34:20.743743,8628.37,707.01,170.84,0.7375
2018-02-28 10:34:31.135650,8619.62,707.01,170.84,0.73706
2018-02-28 10:34:41.592076,8620.61,707.14,170.78,0.73706
2018-02-28 10:34:51.809068,8620.61,707.14,170.71,0.73706
2018-02-28 10:35:02.628083,8620.61,707.14,170.71,0.73706
2018-02-28 10:35:13.014589,8603.81,705.01,170.43,0.736
2018-02-28 10:35:23.407292,8603.81,704.67,170.43,0.736
2018-02-28 10:35:33.832963,8603.81,704.67,170.83,0.736
2018-02-28 10:35:44.246036,8601.06,704.67,170.73,0.73699
2018-02-28 10:35:54.567541,8601.06,704.67,170.41,0.73706
2018-02-28 10:36:04.968543,8601.06,704.67,170.41,0.734
2018-02-28 10:36:15.203652,8614.04,705.31,170.44,0.734
2018-02-28 10:36:25.633157,8614.04,704.67,170.44,0.734
2018-02-28 10:36:35.894209,8602.81,704.67,170.84,0.73426
2018-02-28 10:36:46.123670,8592.73,704.67,170.84,0.73706
2018-02-28 10:36:56.520608,8592.71,704.67,170.84,0.73706
