,ADA,ADST,BCH,BIS,BTC,DASH,EMC2,ETH,FUN,ICX,IOTA,LTC,NEM,NEO,QTUM,STEEM,STRAAT,TRX,TotalMarketCap,UBQ,VEN,XLM,XMR,XRB,XRP,XVG
2014-03-30 00:00:00,,,,,334.522857765826,0.4814928410494949,,,,,,9.55011265353587,,,,,,,,,,,,,0.007015771495021441,
2014-03-31 00:00:00,,,,,331.4476356251813,0.4654583695967507,,,,,,9.247171453437772,,,,,,,,,,,,,0.006371482448505946,
2014-04-01 00:00:00,,,,,346.90355329949233,0.5250942712110225,,,,,,9.521392313270487,,,,,,,,,,,,,0.0063502538071066,
2014-04-02 00:00:00,,,,,316.8829285973178,0.4458455962305184,,,,,,8.184124682856108,,,,,,,,,,,,,0.0057426603841971725,
2014-04-03 00:00:00,,,,,322.9395105656816,0.4634253140657904,,,,,,8.024108634086124,,,,,,,,,,,,,0.005768644252414494,
2014-04-04 00:00:00,,,,,326.6642335766423,0.4736766423357664,,,,,,8.043795620437955,,,,,,,,,,,,,0.005908029197080293,
2014-04-05 00:00:00,,,,,337.1605839416058,0.5112729927007299,,,,,,8.175182481751825,,,,,,,,,,,,,0.006075912408759123,
2014-04-06 00:00:00,,,,,336.13138686131384,0.4682576642335766,,,,,,8.496350364963503,,,,,,,,,,,,,0.006019708029197081,
2014-04-07 00:00:00,,,,,327.49398819500107,0.44020986664723455,,,,,,8.205202943962691,,,,,,,,,,,,,0.00585513371711725,
2014-04-08 00:00:00,,,,,328.94583998838385,0.4377943952374039,,,,,,8.24742268041237,,,,,,,,,,,,,0.005817482212864818,
2014-04-09 00:00:00,,,,,320.95838770479924,0.42586414383065097,0.0017681600695954765,,,,,8.112222705524141,,,,,,,,,,,,,0.005702479338842975,
2014-04-10 00:00:00,,,,,263.3446311386746,0.3295853465060936,0.0012648734405422946,,,,,6.1008148842575896,,,,,,,,,,,,,0.0045561404773923715,
2014-04-11 00:00:00,,,,,303.45299884659744,0.3956942041522492,0.0015203287197231837,,,,,7.8935986159169556,,,,,,,,,,,,,0.004744809688581315,
2014-04-12 00:00:00,,,,,303.57554786620534,0.41225129757785467,0.002037197231833911,,,,,7.684544405997692,,,,,,,,,,,,,0.004510524798154557,
2014-04-13 00:00:00,,,,,298.48615916955015,0.3885719434832757,0.001828143021914648,,,,,7.432237600922723,,,,,,,,,,,,,0.004315888119953864,
2014-04-14 00:00:00,,,,,331.8073334779778,0.422302017791278,0.002155203587184495,,,,,8.331525276632675,,,,,,,,,,,,,0.004713965429955885,
2014-04-15 00:00:00,,,,,373.53473882489317,0.4691472868217054,0.0022393682532782727,,,,,9.599362457436786,,,,,,,,,,,,,0.0055922625516192145,
