,strategy,min_gain,pct_gap,period
2018-02-02 05:00:00,-29.582408786963995,0.0025,0.01,H
2018-02-02 06:00:00,-25.108395907260643,0.0025,0.01,H
2018-02-02 07:00:00,-26.65385711034773,0.0025,0.01,H
2018-02-02 08:00:00,-24.26417312788311,0.0025,0.01,H
2018-02-02 09:00:00,-24.50642314360286,0.0025,0.01,H
2018-02-02 10:00:00,-25.925373455769176,0.0025,0.01,H
2018-02-02 11:00:00,-28.64200751252541,0.0025,0.01,H
2018-02-02 12:00:00,-9.933774021641213,0.0025,0.01,H
2018-02-02 13:00:00,-22.68794308132486,0.0025,0.01,H
2018-02-02 14:00:00,-16.993287547592672,0.0025,0.01,H
2018-02-02 15:00:00,-21.201277538496868,0.0025,0.01,H
2018-02-02 16:00:00,-20.58781337881527,0.0025,0.01,H
2018-02-02 17:00:00,-21.120514657054514,0.0025,0.01,H
2018-02-02 18:00:00,-16.843976590632636,0.0025,0.01,H
2018-02-02 19:00:00,-16.965308813656833,0.0025,0.01,H
2018-02-02 20:00:00,-21.985819220737937,0.0025,0.01,H
2018-02-02 21:00:00,-22.16155607982617,0.0025,0.01,H
2018-02-02 22:00:00,-22.545403130994288,0.0025,0.01,H
2018-02-02 23:00:00,-18.629363993998723,0.0025,0.01,H
2018-02-03 00:00:00,-19.04531751214408,0.0025,0.01,H
2018-02-03 01:00:00,-21.98924192313875,0.0025,0.01,H
2018-02-03 02:00:00,-21.796468313932905,0.0025,0.01,H
2018-02-03 03:00:00,-10.045316519589562,0.0025,0.01,H
2018-02-03 04:00:00,-16.61665797818989,0.0025,0.01,H
2018-02-03 05:00:00,-12.435733545876218,0.0025,0.01,H
2018-02-03 06:00:00,-14.9784119972756,0.0025,0.01,H
2018-02-03 07:00:00,-5.961837761645853,0.0025,0.01,H
2018-02-03 08:00:00,-8.687701070862175,0.0025,0.01,H
2018-02-03 09:00:00,-9.270227343562794,0.0025,0.01,H
2018-02-03 10:00:00,-8.806166426766211,0.0025,0.01,H
2018-02-03 11:00:00,-11.564517156060802,0.0025,0.01,H
2018-02-03 12:00:00,-9.687239057045858,0.0025,0.01,H
2018-02-03 13:00:00,-13.791346214407412,0.0025,0.01,H
2018-02-03 14:00:00,-12.862784608795522,0.0025,0.01,H
2018-02-03 15:00:00,-12.200749780690387,0.0025,0.01,H
2018-02-03 16:00:00,-11.400714969669707,0.0025,0.01,H
2018-02-03 17:00:00,-12.550453879186719,0.0025,0.01,H
2018-02-03 18:00:00,-12.630680665552134,0.0025,0.01,H
2018-02-03 19:00:00,-12.945433481811023,0.0025,0.01,H
2018-02-03 20:00:00,-13.24040236521958,0.0025,0.01,H
2018-02-03 21:00:00,-12.585435686264915,0.0025,0.01,H
2018-02-03 22:00:00,-13.412574124138885,0.0025,0.01,H
2018-02-03 23:00:00,-11.39362543160766,0.0025,0.01,H
2018-02-04 00:00:00,-13.205124603397635,0.0025,0.01,H
2018-02-04 01:00:00,-11.005277785021605,0.0025,0.01,H
2018-02-04 02:00:00,-11.345329290650312,0.0025,0.01,H
2018-02-04 03:00:00,-11.774923392774582,0.0025,0.01,H
2018-02-04 04:00:00,-11.101097565268148,0.0025,0.01,H
2018-02-04 05:00:00,-11.566779783133356,0.0025,0.01,H
2018-02-04 06:00:00,-11.327690738136482,0.0025,0.01,H
2018-02-04 07:00:00,-11.078830975880194,0.0025,0.01,H
2018-02-04 08:00:00,-19.808583417702977,0.0025,0.01,H
2018-02-04 09:00:00,-20.023330737391547,0.0025,0.01,H
2018-02-04 10:00:00,-19.624250058328712,0.0025,0.01,H
2018-02-04 11:00:00,-20.5418810523105,0.0025,0.01,H
2018-02-04 12:00:00,-14.619686493255927,0.0025,0.01,H
